年月,合計,前月比,預金現金,株式現物,投資信託,年金,ポイント
2020/07,4698659,0,2122320,2546070,30269,0,0
2020/08,5054003,355344,2000340,3009091,44572,0,0
2020/09,5132083,78080,2055029,3023671,53383,0,0
2020/10,5049139,-82944,2056000,2941101,52038,0,0
2020/11,5439580,390441,2060739,3321514,57327,0,0
2020/12,7165928,1726348,3624923,3463924,77081,0,0
2021/01,7676784,510856,3889672,3707647,79465,0,0
2021/02,6455039,-1221745,2522091,3852114,80834,0,0
2021/03,6901319,446280,2698345,4110883,92091,0,0
2021/04,7124520,223201,2589238,4430878,104404,0,0
2021/05,7373554,249034,2685080,4583776,104698,0,0
2021/06,7627411,253857,2710618,4807417,109376,0,0
2021/07,8110638,483227,3054299,4940086,116253,0,0
2021/08,8283847,173209,3030816,5134927,118104,0,0
2021/09,8369369,85522,3045884,5202302,121183,0,0
2021/10,8826066,456697,3133264,5562065,130737,0,0
2021/11,8926163,100097,3068342,5723830,133991,0,0
2021/12,10416390,1490227,4394057,5884226,138107,0,0
2022/01,10441219,24829,4587180,5636302,217737,0,0
2022/02,10852629,411410,4917586,5622711,312310,0,22
2022/03,12850763,1998134,6168302,6174685,484668,22497,611
2022/04,7112824,-5737939,595869,5925426,553949,32854,4726
2022/05,7218265,105441,669306,5856207,641040,44863,6849
2022/06,7939028,720763,1405091,5724353,746843,56495,6246
2022/07,7658513,-280515,606467,6035765,935405,71144,9732
2022/08,7843265,184752,576664,6115001,1056368,83979,11253
2022/09,7615012,-228253,585650,5792670,1135674,91495,9523
2022/10,8375224,760212,575706,6386770,1294582,107625,10541
2022/11,8237487,-137737,712455,6058266,1335713,119244,11809
2022/12,7980314,-257173,970689,5593141,1286251,123359,6874
2023/01,8341259,360945,1080522,5767383,1338529,141110,13715
2023/02,8733926,392667,1208852,5985128,1363024,155018,21904
2023/03,8511838,-222088,1249643,5673477,1389363,164475,34880
2023/04,9239196,727358,1406743,6119187,1495119,182709,35438
2023/05,10365564,1126368,2060399,6414428,1647783,204794,38160
2023/06,11986093,1620529,3006951,6884573,1820410,230434,43725
2023/07,10399877,-1586216,1334575,6899148,1874625,242951,48578
2023/08,10530260,130383,1093087,7136498,1995682,262826,42167
2023/09,10245358,-284902,991474,6931680,2005092,269650,47462
2023/10,10780231,534873,1756000,6726151,1974024,268960,55096
2023/11,12312810,1532579,2540456,7212587,2197856,303094,58817
2023/12,13493593,1180783,3549156,7276041,2282063,320458,65875
2024/01,13672695,179102,3971118,6780958,2494109,351082,75428
2024/02,15161844,1489149,4926592,7090183,2679809,381227,84033
2024/03,16439526,1277682,5800501,7384006,2840515,408290,6214
2024/04,16359617,-79909,5629132,7392067,2910712,417104,10602
2024/05,16747314,387697,5428332,7672678,3179120,450306,16878
2024/06,16824535,77221,4759015,8066816,3487590,485490,25624
2024/07,15551155,-1273380,3912334,7701942,3420048,477205,39626
2024/08,14922672,-628483,4046181,7480088,2916849,472584,6970
2024/09,15109283,186611,3648521,7714398,3239687,502118,4559
2024/10,15981141,871858,3675938,8192610,3565993,540797,5803
2024/11,16328937,347796,3670532,8399666,3697324,553494,7921
2024/12,17447879,1118942,4233043,8663248,3955589,587445,8554
2025/01,16875308,-572571,3662454,8623760,3973355,596083,19656
2025/02,15822543,-1052765,3310805,6584145,5334833,585459,7301
2025/03,16803290,980747,4737901,6238228,5229844,584611,12706
2025/04,16118510,-684780,4736413,5932026,4886548,554535,8988
2025/05,16591148,472638,4323973,6356484,5296329,602836,11526
2025/06,16253632,-337516,3353406,6664854,5584662,638176,12534
2025/07,17098299,844667,3339978,7071997,5986008,684669,15647
2025/08,17004317,-93982,3076239,7101458,6111846,695325,19449
2025/09,17582687,578370,3101759,7327585,6401857,731055,20431
2025/10,18425378,842691,2999315,7757321,6860279,785407,23056
2025/11,18571603,146225,2797404,7935317,7005275,807294,26313
2025/12,20146233,1574630,4168685,7954274,7162663,832103,28508
2026/01,19534803,-611430,3553641,7923592,7199054,848608,9908
2026/02,19195849,-338954,3008845,7935491,7362512,875849,13152
2026/03,18058007,-1137842,2562679,7496602,7163995,830781,3950
2026/04,20871244,2813237,3333834,8442940,8151271,936801,6398
2026/05,21699155,827911,3098094,8899575,8699165,994950,7371
2026/06,21438618,-260537,2871859,8825426,8715006,1015887,10440
